Inventory_ID,Warehouse_ID,Product_ID,Inventory_Date,Stock_Quantity,Reserved_Quantity,Damaged_Quantity
97,231,11058,2025-05-08,2932,760,45
98,616,7925,2025-05-23,4457,689,78
99,326,14625,2025-02-19,4750,75,90
100,157,11638,2025-02-07,3639,397,72
101,590,10770,2025-03-14,4870,68,86
102,867,10890,2025-07-02,1335,312,85
103,483,5931,2025-02-15,3555,529,41
104,664,15431,2025-08-15,2038,113,95
105,397,862,2025-08-12,4432,432,23
106,897,2280,2025-07-04,1385,350,61
107,715,2202,2025-03-26,3468,313,58
108,109,18069,2025-01-06,2589,276,51
109,517,11460,2025-04-03,980,854,87
110,442,18245,2025-04-19,4313,119,64
111,414,505,2025-03-15,1905,10,11
112,455,4385,2025-07-29,1073,370,94
113,464,14933,2025-02-10,1152,700,91
114,652,8932,2025-08-13,3748,7,89
115,455,8831,2025-04-15,4817,679,67
116,179,1752,2025-07-26,3823,220,93
117,907,9543,2025-01-28,2717,365,50
118,351,12427,2025-05-30,2670,675,3
119,616,4220,2025-05-17,4160,678,76
120,344,12016,2025-08-22,4205,991,49
121,162,4856,2025-04-04,3303,715,31
122,766,2693,2025-02-18,3163,60,35
123,527,660,2025-04-08,885,79,73
124,151,9720,2025-02-10,1669,383,5
125,171,12218,2025-08-28,583,293,68
126,235,13044,2025-02-06,1147,222,98
127,420,19751,2025-05-28,4194,284,71
128,751,2403,2025-04-29,3318,168,50
129,585,8864,2025-05-19,2714,164,81
130,76,16575,2025-08-18,1799,181,63
131,653,18451,2025-03-29,2757,734,48
132,772,302,2025-04-12,3498,66,0
133,362,19681,2025-07-01,3480,468,96
134,455,1706,2025-04-14,2398,473,90
135,376,3698,2025-03-05,2022,868,47
136,995,11234,2025-04-08,1436,527,61
137,25,8278,2025-03-25,3787,646,24
138,394,10452,2025-06-21,92,979,94
139,331,3695,2025-08-10,4192,343,3
140,715,3759,2025-07-25,3028,974,27
141,356,3410,2025-02-07,2359,497,99
142,864,18752,2025-06-30,136,96,51
143,103,17277,2025-02-06,4319,286,79
144,147,3638,2025-01-26,2786,351,73
145,522,494,2025-03-20,4890,900,45
146,748,9971,2025-03-14,3100,29,41
147,44,4374,2025-03-14,3243,575,23
148,327,9134,2025-03-16,4543,489,28
149,492,19933,2025-04-13,4431,241,88
150,341,1517,2025-01-25,4703,464,23
151,891,16986,2025-05-04,4640,691,24
152,578,9617,2025-07-01,958,843,8
153,236,13858,2025-03-29,3828,351,33
154,798,14328,2025-04-01,3211,681,0
155,674,11410,2025-05-05,4088,842,5
156,578,19297,2025-04-03,4290,301,10
157,950,4347,2025-04-20,474,58,23
158,775,13915,2025-05-20,1807,707,30
159,573,1755,2025-05-22,1642,885,78
160,662,9772,2025-04-01,1011,209,62
161,718,19849,2025-01-21,2280,58,20
162,283,17559,2025-08-19,3357,292,47
163,814,4725,2025-04-16,2791,88,39
164,722,4654,2025-03-28,1899,442,51
165,965,6376,2025-03-01,1710,759,51
166,242,1567,2025-06-14,945,331,65
167,415,11363,2025-08-09,4199,317,35
168,903,17759,2025-08-01,2852,542,97
169,363,7888,2025-06-18,2154,219,28
170,515,4199,2025-08-03,2798,699,28
171,937,15169,2025-03-14,3570,921,41
172,388,9569,2025-07-31,4658,300,42
173,463,15193,2025-03-25,2749,929,49
174,712,8615,2025-01-20,683,956,98
175,892,14266,2025-03-14,2970,367,26
176,680,1520,2025-02-17,2102,275,15
177,460,8339,2025-07-01,884,234,70
178,115,2603,2025-07-31,3449,35,87
179,383,6204,2025-06-04,2151,413,27
180,832,6351,2025-03-14,3007,876,58
181,126,18944,2025-06-28,4446,492,21
182,490,12534,2025-07-06,1319,293,95
183,730,1598,2025-08-23,147,40,30
184,305,7587,2025-06-30,2590,900,93
185,236,17197,2025-04-03,2932,76,68
186,612,14627,2025-02-12,1608,984,94
187,797,16923,2025-05-21,3206,457,6
188,68,4355,2025-08-18,1458,339,74
189,922,1699,2025-02-27,1493,543,37
190,627,2893,2025-05-13,4171,854,33
191,911,7031,2025-04-20,3859,401,13
192,839,6155,2025-01-07,932,699,53
193,142,19934,2025-08-04,4225,654,70
194,142,2587,2025-04-15,1355,985,18
195,555,16253,2025-04-03,4265,565,23
196,760,17969,2025-08-02,1263,10,9
197,262,2896,2025-01-28,4233,453,1
198,797,9998,2025-06-18,3854,101,15
199,166,9184,2025-03-19,2897,639,25
200,728,10629,2025-07-21,724,638,24
201,454,6167,2025-03-22,452,764,80
202,362,5588,2025-06-15,1656,486,77
203,444,10624,2025-04-20,2923,43,31
204,120,9782,2025-02-20,3649,194,20
205,340,16396,2025-06-30,4684,562,35
206,358,19305,2025-05-30,1085,159,47
207,353,14878,2025-05-05,3182,37,36
208,605,13180,2025-08-22,4473,417,11
209,856,18914,2025-08-19,3221,435,48
210,512,6231,2025-04-16,2190,366,25
211,338,10286,2025-01-19,3411,527,33
212,634,3160,2025-05-17,4122,259,27
213,647,4751,2025-07-13,2138,464,75
214,556,7382,2025-03-14,2014,238,19
215,165,2228,2025-02-19,3884,490,48
216,187,4071,2025-01-03,751,984,32
217,569,4297,2025-02-27,1496,867,94
218,507,16566,2025-06-03,3915,749,59
219,758,15315,2025-01-30,4769,440,87
220,622,8125,2025-04-06,1310,139,3
221,456,11334,2025-07-24,1205,856,77
222,215,23,2025-07-17,3798,224,30
223,464,14632,2025-02-13,2879,530,6
224,538,7730,2025-02-14,2353,994,13
225,302,18154,2025-03-16,4984,564,67
226,399,13036,2025-07-20,4207,54,4
227,661,2057,2025-05-22,515,828,88
228,706,4797,2025-07-08,302,717,62
229,904,11192,2025-06-04,2355,99,88
230,575,15211,2025-01-13,2817,391,26
231,218,5096,2025-05-26,424,227,85
232,421,16641,2025-08-05,425,326,21
233,375,2119,2025-08-09,2215,755,11
234,579,3948,2025-01-22,3740,341,64
235,502,6139,2025-02-03,730,876,85
236,609,15338,2025-05-19,2234,896,53
237,520,2236,2025-05-25,2710,901,9
238,475,11922,2025-08-14,3402,324,77
239,10,19133,2025-03-18,3981,118,93
240,51,13001,2025-08-12,4642,355,93
241,354,13649,2025-05-09,673,110,63
242,734,12262,2025-01-02,4946,760,5
243,253,1056,2025-06-28,1625,667,27
244,748,17701,2025-08-17,1490,917,15
245,219,18880,2025-08-03,4899,571,75
246,835,15387,2025-05-10,4084,706,69
247,73,19353,2025-05-07,1654,371,19
248,894,17260,2025-06-17,3427,622,46
249,541,2412,2025-08-14,4516,349,7
250,913,18624,2025-02-17,1655,626,55
251,232,8666,2025-07-30,2040,703,83
252,141,17871,2025-07-21,473,68,75
253,902,11091,2025-01-03,597,202,74
254,794,3180,2025-03-14,1024,816,99
255,922,3990,2025-03-15,1612,837,50
256,664,14831,2025-01-31,2127,682,45
257,884,11135,2025-06-27,3349,487,27
258,776,2010,2025-07-06,3631,995,3
259,189,15825,2025-05-25,2275,930,17
260,342,18999,2025-08-18,4411,549,15
261,927,13979,2025-04-18,2453,60,70
262,681,2319,2025-07-22,3668,719,83
263,229,4571,2025-04-11,3301,586,62
264,494,5465,2025-01-29,1404,396,40
265,450,7849,2025-04-20,3695,420,1
266,238,7714,2025-07-21,4608,716,50
267,241,1998,2025-08-28,3640,73,93
268,44,4347,2025-01-04,3487,449,44
269,612,13792,2025-02-27,2885,185,96
270,667,19657,2025-04-14,3277,332,73
271,710,3819,2025-03-05,2703,135,92
272,927,9780,2025-02-28,976,300,91
273,228,17668,2025-03-30,35,81,13
274,256,14511,2025-07-11,4551,813,45
275,891,11744,2025-04-09,2322,923,80
276,669,7195,2025-02-26,2143,6,29
277,945,5749,2025-03-09,4691,119,42
278,235,15317,2025-04-19,4260,482,38
279,952,2311,2025-08-24,2706,295,78
280,641,108,2025-06-01,2699,803,78
281,677,11704,2025-06-05,4358,393,7
282,781,5691,2025-07-17,531,434,69
283,283,14533,2025-03-24,3465,431,52
284,756,19113,2025-07-23,3414,9,66
285,777,7261,2025-06-28,617,357,24
286,585,2113,2025-07-02,537,899,6
287,717,12634,2025-03-04,4560,616,30
288,190,15880,2025-02-06,1239,276,29
289,194,6813,2025-04-17,4904,124,88
290,625,272,2025-08-09,3998,84,68
291,343,3717,2025-01-18,165,528,31
292,709,3647,2025-03-12,2226,783,88
293,431,6872,2025-04-19,4865,980,97
294,939,1389,2025-07-27,1442,442,66
295,527,14479,2025-03-06,685,503,81
296,959,12444,2025-04-14,3193,758,30
297,342,4063,2025-05-23,2476,183,7
298,321,13077,2025-03-06,1488,811,86
299,705,19958,2025-02-17,3501,994,45
300,93,12927,2025-08-15,4580,895,3
301,757,19582,2025-05-31,3893,31,38
302,504,11594,2025-06-12,4662,492,79
303,899,1647,2025-08-22,1313,45,69
304,461,7957,2025-08-01,3137,743,21
305,48,7964,2025-07-06,340,499,46
306,732,3889,2025-07-26,1848,724,2
307,99,7204,2025-02-20,4790,300,82
308,184,6171,2025-01-20,2022,143,44
309,525,8367,2025-05-06,2811,804,53
310,685,6827,2025-02-01,479,209,12
311,638,10470,2025-07-14,2041,332,44
312,206,4639,2025-04-13,366,526,12
313,512,11864,2025-07-05,670,515,21
314,589,11389,2025-01-19,245,99,80
315,583,4503,2025-05-10,3532,546,41
316,811,3866,2025-06-09,3751,24,67
317,560,16519,2025-01-08,1149,520,14
318,222,6614,2025-01-16,3845,885,71
319,436,8654,2025-06-17,2570,262,10
320,255,1106,2025-03-17,4300,992,3
321,370,13010,2025-03-14,2146,107,2
322,657,4529,2025-04-23,699,910,6
323,477,14330,2025-03-16,214,485,12
324,321,4539,2025-07-30,3055,433,72
325,540,19164,2025-01-31,2172,135,4
326,526,17403,2025-03-22,895,752,77
327,491,8420,2025-07-28,3305,631,1
328,112,15352,2025-06-12,637,604,32
329,132,5398,2025-05-10,513,896,17
330,205,14070,2025-05-25,1549,301,77
331,919,12419,2025-08-23,370,952,58
332,341,13732,2025-05-31,1904,377,73
333,327,19012,2025-03-23,3875,695,8
334,189,2460,2025-03-13,110,649,35
335,13,16412,2025-02-13,70,310,32
336,340,12535,2025-06-24,2786,983,10
337,790,18127,2025-07-06,1803,804,23
338,289,14690,2025-03-17,2249,401,51
339,212,17709,2025-01-28,3174,99,54
340,712,7987,2025-02-26,2371,397,0
341,527,6866,2025-04-28,4583,810,71
342,953,8805,2025-08-16,4916,800,12
343,970,1906,2025-01-20,1623,512,43
344,849,9945,2025-05-13,3546,354,64
345,612,14243,2025-07-18,4674,365,69
346,767,2555,2025-07-05,672,562,60
347,728,4587,2025-07-25,2058,651,50
348,507,1487,2025-01-27,2230,535,5
349,470,18273,2025-02-28,4455,584,34
350,120,13343,2025-01-05,2933,50,0
351,40,1675,2025-06-07,4297,402,57
352,691,14393,2025-05-12,4867,720,6
353,281,13137,2025-01-23,3209,196,44
354,264,1577,2025-04-17,735,934,78
355,530,1435,2025-05-27,2394,579,4
356,466,14360,2025-03-27,294,20,27
357,498,19634,2025-07-17,2204,446,70
358,67,16851,2025-02-04,2881,164,1
359,130,3272,2025-07-24,1552,390,7
360,530,12364,2025-04-26,4195,300,40
361,902,19484,2025-07-14,1849,487,52
362,916,12699,2025-04-15,1913,625,40
363,467,2547,2025-06-12,1543,987,54
364,584,19090,2025-06-13,2839,273,11
365,848,16387,2025-05-31,2739,136,14
366,559,16352,2025-02-08,3411,330,67
367,521,5761,2025-08-10,4586,763,68
368,613,13104,2025-06-21,3153,460,84
369,401,13061,2025-05-25,559,89,31
370,304,11244,2025-06-23,453,863,39
371,594,12833,2025-01-25,2019,887,21
372,880,12285,2025-04-25,782,12,18
373,724,19271,2025-03-20,2992,286,46
374,396,1423,2025-01-13,3809,292,85
375,197,17783,2025-05-02,1251,838,14
376,134,11427,2025-08-05,2011,187,93
377,701,18952,2025-03-30,3189,287,72
378,921,13689,2025-01-18,3185,8,79
379,164,14256,2025-03-27,2262,888,59
380,428,14132,2025-03-22,2745,795,57
381,898,13729,2025-01-17,781,579,60
382,431,14968,2025-01-03,4290,312,88
383,175,6651,2025-05-13,4327,816,14
384,712,15366,2025-03-31,1720,153,99
385,68,8212,2025-06-05,2098,134,60
386,149,14289,2025-06-11,678,375,88
387,476,11350,2025-01-14,3786,429,16
388,193,10437,2025-04-02,341,839,83
389,889,18019,2025-03-24,1588,978,59
390,726,14855,2025-03-14,1074,0,70
391,500,6189,2025-01-27,4522,835,46
392,364,10231,2025-04-17,1467,420,84
393,546,14746,2025-05-22,3125,34,11
394,844,8825,2025-03-07,2954,57,64
395,646,13378,2025-04-17,1732,435,18
396,207,19557,2025-03-18,2954,713,42
397,613,10079,2025-02-02,4472,889,43
398,594,11201,2025-07-09,4347,768,55
399,472,18216,2025-03-20,3509,409,89
400,706,5030,2025-07-18,3580,301,11
401,528,15477,2025-08-11,1450,667,15
402,681,18000,2025-07-30,548,810,81
403,617,11729,2025-08-18,4797,3,58
404,494,10386,2025-08-05,2488,6,51
405,593,18590,2025-03-18,4413,527,11
406,997,17000,2025-01-31,2707,462,36
407,790,303,2025-03-19,3923,133,78
408,523,19096,2025-05-15,2133,52,58
409,861,18308,2025-08-01,3118,36,13
410,545,5409,2025-07-31,4786,830,99
411,671,6444,2025-05-19,867,628,75
412,308,17085,2025-06-17,4778,719,46
413,875,10221,2025-07-24,4030,559,7
414,925,11856,2025-04-29,378,307,32
415,424,9844,2025-02-08,3303,774,45
416,348,4065,2025-04-08,-20,9,5
417,497,18107,2025-05-03,3735,903,30
418,420,19745,2025-04-29,65,348,26
419,987,13027,2025-08-21,4765,572,6
420,135,9037,2025-05-15,124,73,95
421,855,20000,2025-04-30,3104,772,8
422,723,2247,2025-03-10,445,512,14
423,371,16363,2025-05-01,1688,842,4
424,754,19388,2025-08-12,1650,875,81
425,591,2226,2025-01-11,2235,958,49
426,572,11805,2025-03-09,69,630,89
427,746,16615,2025-03-16,1787,60,64
428,548,8809,2025-04-02,1640,842,90
429,35,11290,2025-05-04,1461,93,58
430,951,2914,2025-05-05,2207,427,76
431,628,13356,2025-01-14,251,485,80
432,746,4844,2025-04-05,3850,214,25
433,686,3849,2025-07-26,3246,966,20
434,887,5740,2025-03-10,1428,925,60
435,708,12397,2025-07-13,4575,418,70
436,105,9023,2025-05-08,1256,638,85
437,28,11460,2025-02-12,2852,718,31
438,712,5080,2025-06-22,761,90,12
439,138,16081,2025-05-20,1398,555,47
440,47,6275,2025-05-04,38,905,63
441,941,2419,2025-08-25,3265,667,15
442,784,2039,2025-08-18,1274,76,36
443,195,19233,2025-03-22,706,346,66
444,95,14921,2025-05-02,1592,70,61
445,428,5545,2025-05-05,150,167,63
446,80,4026,2025-04-13,387,291,78
447,835,19467,2025-04-28,2601,376,98
448,191,17956,2025-05-03,3624,422,99
449,344,19934,2025-07-03,1451,557,43
450,682,1070,2025-07-24,786,891,5
451,117,26,2025-08-01,2264,381,84
452,313,11700,2025-02-17,3489,119,64
453,737,340,2025-01-19,528,6,28
454,119,2237,2025-05-01,3423,718,26
455,166,9072,2025-02-22,332,605,44
456,50,14791,2025-05-20,2333,442,58
457,542,19180,2025-01-18,351,431,82
458,696,8370,2025-05-25,3843,110,5
459,403,5375,2025-07-10,166,70,88
460,820,18574,2025-01-05,4254,468,13
461,16,673,2025-08-02,1146,916,13
462,811,7365,2025-03-14,3568,785,67
463,168,2725,2025-08-24,2245,487,95
464,16,4536,2025-04-26,3633,853,80
465,642,18463,2025-08-02,170,810,63
466,645,3929,2025-04-16,2924,72,74
467,48,2536,2025-03-11,3048,510,57
468,752,13544,2025-01-10,2550,877,50
469,411,1172,2025-07-18,2629,438,56
470,193,11766,2025-01-06,3932,467,60
471,895,2114,2025-01-12,4560,732,99
472,394,17407,2025-04-13,3367,226,29
473,983,11270,2025-03-27,2804,213,29
474,291,18462,2025-07-20,1186,629,19
475,986,19450,2025-08-27,1667,355,28
476,207,15382,2025-07-07,4951,4,31
477,982,2592,2025-05-23,3763,359,44
478,36,9213,2025-05-11,361,986,8
479,659,2427,2025-08-12,1417,241,48
480,1000,15833,2025-07-18,4180,432,38
481,412,6316,2025-06-14,4420,117,33
482,185,17506,2025-01-29,1572,990,27
483,568,17375,2025-04-28,307,161,53
484,214,15645,2025-04-27,2816,709,25
485,817,4772,2025-03-19,2177,791,46
486,872,5662,2025-02-17,4653,488,33
487,387,14566,2025-04-12,1964,133,98
488,5,16307,2025-07-26,780,87,93
489,134,4795,2025-01-13,761,631,88
490,108,1228,2025-03-26,2739,148,99
491,734,9922,2025-03-08,2145,362,45
492,227,15292,2025-04-03,611,630,17
493,262,1613,2025-04-11,1019,562,95
494,475,4990,2025-04-20,1096,378,84
495,546,4176,2025-07-30,2311,278,84
496,720,18093,2025-01-26,2387,125,22
497,883,19470,2025-08-19,2030,694,27
498,327,3093,2025-04-07,3635,680,81
499,87,4873,2025-06-11,2586,551,79
500,873,16707,2025-05-19,850,422,71
501,821,6957,2025-04-27,4894,175,68
502,779,14335,2025-02-20,833,675,62
503,740,1856,2025-01-21,2258,370,57
504,30,4459,2025-06-26,1371,108,10
505,300,3186,2025-01-18,2228,424,69
506,681,13520,2025-01-15,1971,209,3
507,423,6923,2025-08-14,3219,564,37
508,578,6403,2025-07-03,2943,137,73
509,482,11301,2025-07-30,757,100,93
510,733,3290,2025-02-25,1158,610,57
511,769,7364,2025-02-06,846,253,93
512,92,2744,2025-05-04,2749,164,40
513,912,768,2025-07-13,1968,409,25
514,62,3586,2025-07-20,3485,63,8
515,168,18267,2025-01-12,4495,831,32
516,46,6089,2025-08-02,606,919,58
517,617,19959,2025-05-07,3982,825,30
518,450,6121,2025-07-25,4569,642,86
519,94,14028,2025-03-26,3263,156,26
520,396,17980,2025-01-01,1948,842,46
521,833,797,2025-03-02,2669,119,65
522,490,15423,2025-03-15,831,77,42
523,708,11593,2025-02-06,4890,440,70
524,544,9401,2025-08-20,313,653,88
525,592,14420,2025-05-27,2135,790,19
526,946,1849,2025-07-01,4176,462,86
527,329,13926,2025-04-07,1118,8,81
528,862,17887,2025-08-27,2964,820,84
529,639,13787,2025-05-23,2202,563,76
530,217,18443,2025-04-01,1033,144,58
531,652,1663,2025-08-20,2604,541,74
532,251,2654,2025-07-20,817,13,90
533,819,11907,2025-04-12,1773,584,39
534,614,17250,2025-08-20,694,337,87
535,6,18464,2025-08-25,4720,514,21
536,462,13659,2025-04-18,3871,521,87
537,377,18805,2025-05-15,3081,924,52
538,899,9658,2025-04-12,3663,453,47
539,290,6955,2025-06-28,2892,175,18
540,823,19789,2025-02-10,950,330,72
541,915,14951,2025-01-10,4648,340,81
542,976,4765,2025-08-10,2247,258,50
543,281,18166,2025-08-15,744,20,47
544,781,12192,2025-01-09,1879,260,57
545,570,15694,2025-03-04,2899,650,55
546,68,2651,2025-02-27,3057,424,74
547,810,2739,2025-07-09,653,466,22
548,369,4858,2025-08-02,4107,932,87
549,607,10626,2025-04-08,1737,828,29
550,362,7060,2025-04-16,1733,169,93
551,976,7712,2025-07-23,2247,836,34
552,88,1911,2025-07-25,4765,177,96
553,258,3790,2025-04-21,4702,701,41
554,217,18979,2025-06-26,3220,685,8
555,205,19245,2025-02-03,3933,796,16
556,817,13311,2025-07-17,4215,865,22
557,262,10715,2025-08-17,2426,877,74
558,342,3782,2025-05-10,1637,836,69
559,220,2072,2025-05-08,1654,652,76
560,870,2466,2025-01-10,2891,828,86
561,957,16804,2025-02-06,4197,398,13
562,161,12944,2025-06-17,1427,530,9
563,348,4757,2025-03-12,74,222,74
564,899,5624,2025-01-15,4980,310,84
565,877,6980,2025-01-30,2862,640,12
566,763,11498,2025-06-07,4214,18,98
567,424,14087,2025-08-16,4990,392,41
568,95,14899,2025-03-27,3602,88,43
569,692,8968,2025-07-27,2408,675,8
570,325,18273,2025-03-17,3021,929,34
571,581,3959,2025-01-29,3320,578,53
572,409,15412,2025-03-11,2496,23,13
573,739,3861,2025-08-03,4153,338,11
574,530,12973,2025-07-26,4857,518,76
575,353,7678,2025-04-13,974,236,45
576,425,12774,2025-01-23,4035,780,52
577,742,1381,2025-03-21,2664,60,61
578,60,7699,2025-07-03,1007,514,96
579,149,13317,2025-05-28,3669,987,81
580,535,10031,2025-03-16,879,257,79
581,150,1535,2025-07-02,4420,379,48
582,983,1342,2025-08-03,2731,169,35
583,713,3162,2025-03-08,4251,449,28
584,688,9221,2025-07-11,2402,387,42
585,275,16158,2025-02-18,4994,786,3
586,677,6451,2025-05-06,761,503,5
587,293,5359,2025-08-28,1387,751,34
588,904,5568,2025-06-29,3968,620,10
589,702,2319,2025-06-04,4159,535,62
590,679,9264,2025-08-27,603,568,8
591,371,16005,2025-01-02,2357,670,31
592,995,17694,2025-03-07,1407,774,21
593,618,16074,2025-04-30,3205,203,48
594,561,19536,2025-01-22,4451,971,11
595,339,4301,2025-02-22,4678,129,24
596,307,9393,2025-07-03,4468,470,25
597,10,15361,2025-05-15,1832,431,52
598,864,5794,2025-01-27,3314,357,70
599,800,2498,2025-05-09,1540,829,81
600,768,15495,2025-07-07,1970,32,33
601,891,19753,2025-07-23,888,949,12
602,177,13919,2025-03-13,1782,126,98
603,166,19114,2025-07-17,2861,366,77
604,130,8968,2025-04-27,1508,647,53
605,249,8258,2025-03-30,2681,686,25
606,756,15689,2025-07-19,1570,427,55
607,893,3047,2025-07-30,1166,888,48
608,188,3521,2025-04-01,1646,784,29
609,547,2844,2025-05-07,1592,510,39
610,995,9026,2025-02-10,3845,77,3
611,513,705,2025-06-23,4964,891,47
612,952,10174,2025-06-21,1149,642,24
613,452,8570,2025-01-06,174,447,57
614,205,5821,2025-01-11,1048,439,49
615,908,19957,2025-06-16,2345,828,8
616,859,9085,2025-05-15,2434,582,59
617,648,19822,2025-06-30,1532,905,84
618,131,16625,2025-01-20,3069,185,99
619,691,4125,2025-03-16,224,265,73
620,462,11845,2025-04-04,2051,703,47
621,113,7478,2025-02-27,4026,145,14
622,878,14753,2025-03-21,582,104,54
623,411,18611,2025-08-24,3553,583,51
624,599,12025,2025-04-29,1335,762,17
625,103,17905,2025-08-04,153,469,63
626,428,176,2025-04-18,4684,263,2
627,924,17291,2025-05-24,1040,187,44
628,73,2366,2025-01-07,987,551,9
629,725,2794,2025-06-15,3895,596,0
630,675,4006,2025-01-15,216,353,88
631,279,15309,2025-02-24,2525,732,89
632,560,17605,2025-05-24,1648,863,4
633,599,13658,2025-03-13,4890,941,2
634,520,9283,2025-06-20,1881,194,1
635,505,1033,2025-01-03,1262,875,26
636,696,19204,2025-03-10,4962,291,66
637,666,10380,2025-02-05,2131,988,44
638,517,9844,2025-07-29,1068,408,25
639,336,19917,2025-06-13,1096,211,42
640,751,12473,2025-07-26,3221,23,23
641,712,6137,2025-01-17,3020,412,27
642,793,14081,2025-07-03,4454,309,10
643,307,13326,2025-03-24,4852,702,2
644,84,3194,2025-01-07,1151,767,37
645,456,13419,2025-06-06,3460,227,89
646,986,13303,2025-07-22,1849,27,27
647,466,12162,2025-02-19,4491,959,18
648,902,15896,2025-01-26,446,862,91
649,753,6299,2025-01-10,2884,100,58
650,139,15065,2025-01-12,3828,224,26
651,303,3051,2025-06-14,4852,371,62
652,227,11125,2025-03-24,2396,82,90
653,758,2176,2025-04-11,2624,764,84
654,202,5763,2025-06-11,1219,221,72
655,366,4760,2025-03-27,4666,133,46
656,838,17063,2025-02-05,3601,316,2
657,416,1778,2025-06-01,3781,43,67
658,234,15121,2025-02-08,362,982,37
659,132,19895,2025-01-09,976,989,61
660,312,17623,2025-06-16,262,130,46
661,885,12603,2025-02-25,858,397,17
662,596,9226,2025-03-16,1051,321,51
663,373,10023,2025-04-07,4865,635,56
664,452,16062,2025-04-10,62,932,77
665,860,16962,2025-02-25,2318,334,0
666,407,4184,2025-04-02,3234,963,60
667,471,19745,2025-03-27,111,735,72
